target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.01,12219.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.01,12219.0
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.01,12219.0
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.01,12441.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.025,12351.2
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.025,12633.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.025,12723.4
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.025,12840.8
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.05,12386.2
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.05,12682.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.05,12895.9
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.05,12976.9
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.1,12410.5
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.1,12683.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.1,12932.4
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.1,13136.9
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.15,12422.6
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.15,12688.3
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.15,12941.3
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.15,13159.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.2,12429.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.2,12693.7
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.2,12958.9
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.2,13218.0
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.25,12438.4
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.25,12714.8
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.25,12972.9
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.25,13233.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.3,12441.3
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.3,12729.8
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.3,12973.2
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.3,13274.8
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.35,12447.6
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.35,12731.8
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.35,13008.3
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.35,13281.9
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.4,12448.4
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.4,12740.0
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.4,13015.9
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.4,13296.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.45,12451.9
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.45,12747.4
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.45,13022.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.45,13304.6
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.5,12455.2
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.5,12747.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.5,13023.0
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.5,13316.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.55,12456.3
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.55,12747.8
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.55,13027.2
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.55,13323.0
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.6,12462.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.6,12751.1
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.6,13030.2
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.6,13330.2
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.65,12462.8
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.65,12757.7
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.65,13038.3
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.65,13334.6
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.7,12473.2
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.7,12759.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.7,13042.1
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.7,13335.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.75,12477.3
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.75,12771.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.75,13044.9
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.75,13341.2
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.8,12483.7
